iter	Passed	Remaining
0	133	133716
1	134	67023
2	134	44773
3	135	33658
4	135	26985
5	136	22561
6	136	19397
7	137	17010
8	137	15159
9	138	13672
10	138	12460
11	139	11448
12	139	10594
13	140	9865
14	140	9232
15	141	8674
16	141	8183
17	141	7743
18	142	7349
19	142	6993
20	143	6671
21	143	6379
22	143	6111
23	144	5866
24	144	5641
25	145	5433
26	145	5241
27	145	5067
28	146	4902
29	146	4746
30	147	4601
31	147	4464
32	147	4336
33	148	4215
34	148	4104
35	149	4002
36	149	3902
37	150	3807
38	150	3716
39	151	3629
40	151	3547
41	152	3470
42	152	3396
43	153	3326
44	153	3258
45	154	3195
46	154	3134
47	154	3073
48	155	3015
49	155	2960
50	156	2906
51	156	2854
52	156	2804
53	157	2756
54	157	2711
55	158	2667
56	158	2624
57	159	2582
58	159	2542
59	159	2503
60	160	2466
61	160	2429
62	160	2394
63	161	2359
64	161	2326
65	162	2294
66	162	2263
67	163	2235
68	163	2208
69	164	2181
70	164	2153
71	165	2127
72	165	2101
73	165	2076
74	166	2051
75	166	2027
76	167	2004
77	167	1981
78	168	1960
79	168	1940
80	169	1919
81	169	1898
82	169	1875
83	170	1856
84	170	1836
85	171	1817
86	171	1798
87	172	1784
88	172	1767
89	173	1749
90	173	1732
91	173	1715
92	174	1698
93	174	1682
94	174	1666
95	175	1651
96	175	1636
97	176	1621
98	176	1607
99	176	1592
100	177	1578
101	177	1566
102	178	1554
103	178	1541
104	179	1528
105	179	1516
106	180	1504
107	180	1492
108	181	1480
109	181	1468
110	182	1457
111	182	1447
112	183	1437
113	183	1427
114	184	1416
115	184	1405
116	184	1394
117	185	1385
118	185	1375
119	186	1365
120	186	1356
121	187	1346
122	187	1336
123	187	1327
124	188	1317
125	188	1308
126	189	1299
127	189	1290
128	189	1281
129	190	1272
130	190	1264
131	190	1255
132	191	1247
133	191	1238
134	192	1230
135	192	1222
136	192	1215
137	193	1208
138	194	1202
139	194	1195
140	195	1188
141	195	1180
142	195	1173
143	196	1166
144	196	1159
145	197	1153
146	197	1146
147	198	1140
148	198	1134
149	199	1129
150	199	1122
151	200	1116
152	200	1110
153	201	1104
154	201	1098
155	201	1092
156	202	1086
157	202	1080
158	203	1074
159	203	1068
160	203	1061
161	204	1055
162	204	1050
163	204	1044
164	205	1038
165	205	1033
166	206	1027
167	206	1022
168	206	1016
169	207	1011
170	207	1007
171	208	1003
172	208	998
173	209	993
174	209	988
175	210	983
176	210	978
177	210	974
178	211	969
179	211	964
180	212	961
181	212	957
182	213	953
183	213	948
184	214	944
185	214	939
186	215	935
187	215	930
188	215	926
189	216	922
190	216	917
191	217	913
192	217	909
193	217	905
194	218	900
195	218	896
196	219	892
197	219	889
198	219	885
199	220	881
200	220	877
201	221	873
202	221	870
203	221	866
204	222	862
205	223	859
206	223	856
207	224	853
208	224	849
209	224	846
210	225	842
211	225	839
212	226	836
213	226	832
214	227	830
215	227	827
216	228	824
217	228	820
218	229	817
219	229	813
220	229	810
221	230	807
222	230	804
223	231	800
224	231	797
225	231	794
226	232	791
227	232	788
228	233	784
229	233	781
230	233	778
231	234	775
232	234	772
233	235	769
234	235	766
235	235	763
236	236	760
237	236	757
238	237	754
239	237	752
240	238	750
241	238	747
242	239	744
243	239	742
244	240	739
245	240	737
246	240	734
247	241	732
248	241	729
249	242	727
250	242	725
251	243	722
252	243	719
253	244	717
254	244	714
255	244	711
256	245	709
257	245	706
258	246	703
259	246	701
260	246	698
261	247	696
262	247	693
263	247	691
264	248	688
265	248	686
266	249	683
267	249	681
268	249	679
269	250	676
270	250	674
271	251	671
272	251	669
273	251	667
274	252	665
275	252	663
276	253	661
277	253	659
278	254	657
279	254	655
280	255	653
281	255	651
282	256	649
283	256	647
284	257	645
285	257	643
286	258	641
287	258	638
288	258	636
289	259	634
290	259	632
291	260	630
292	260	628
293	260	626
294	261	624
295	261	622
296	261	620
297	262	618
298	262	616
299	263	614
300	263	612
301	264	610
302	264	608
303	264	606
304	265	604
305	265	602
306	265	600
307	266	598
308	266	596
309	267	594
310	267	592
311	268	591
312	268	589
313	269	587
314	269	585
315	269	584
316	270	582
317	270	580
318	271	578
319	271	577
320	272	575
321	272	573
322	272	572
323	273	570
324	273	568
